iter	Passed	Remaining
0	2	257
1	5	265
2	10	344
3	12	310
4	15	292
5	18	287
6	25	343
7	29	341
8	36	364
9	62	558
10	64	520
11	66	490
12	69	462
13	77	477
14	84	476
15	94	495
16	97	476
17	100	456
18	109	467
19	112	448
20	114	431
21	116	414
22	119	401
23	122	386
24	124	373
25	133	380
26	136	368
27	138	356
28	141	345
29	151	353
30	153	342
31	156	331
32	158	321
33	161	313
34	163	304
35	166	295
36	175	298
37	177	290
38	180	282
39	182	274
40	191	275
41	192	265
42	194	257
43	197	250
44	205	251
45	208	244
46	210	237
47	212	230
48	214	223
49	218	218
50	221	212
51	232	214
52	235	208
53	237	202
54	239	195
55	241	189
56	243	183
57	249	180
58	255	177
59	259	172
60	264	168
61	267	163
62	271	159
63	280	157
64	283	152
65	285	147
66	295	145
67	297	140
68	300	134
69	302	129
70	312	127
71	314	122
72	317	117
73	319	112
74	330	110
75	333	105
76	342	102
77	346	97
78	351	93
79	368	92
80	373	87
81	378	83
82	390	80
83	393	74
84	397	70
85	400	65
86	404	60
87	433	59
88	437	54
89	460	51
90	463	45
91	475	41
92	477	35
93	480	30
94	490	25
95	494	20
96	497	15
97	500	10
98	518	5
99	532	0
