iter	Passed	Remaining
0	203	203663
1	207	103447
2	210	70044
3	214	53512
4	219	43649
5	222	36884
6	226	32066
7	231	28651
8	232	25605
9	233	23156
10	235	21159
11	236	19494
12	238	18079
13	239	16866
14	240	15823
15	244	15007
16	245	14191
17	246	13464
18	248	12814
19	249	12228
20	250	11700
21	252	11223
22	253	10785
23	255	10383
24	257	10050
25	259	9705
26	260	9396
27	262	9101
28	263	8825
29	264	8566
30	266	8326
31	267	8099
32	270	7917
33	272	7731
34	273	7541
35	274	7361
36	276	7191
37	277	7031
38	279	6878
39	280	6731
40	281	6592
41	284	6481
42	286	6368
43	287	6252
44	289	6136
45	290	6025
46	291	5917
47	293	5814
48	294	5721
49	296	5629
50	298	5557
51	300	5479
52	302	5396
53	303	5317
54	304	5239
55	306	5165
56	307	5091
57	309	5021
58	310	4958
59	315	4949
60	317	4893
61	319	4835
62	321	4775
63	322	4716
64	324	4663
65	325	4607
66	328	4576
67	330	4528
68	331	4479
69	333	4430
70	334	4382
71	336	4341
72	338	4299
73	339	4254
74	342	4224
75	344	4190
76	346	4148
77	347	4108
78	349	4069
79	350	4029
80	351	3991
81	353	3954
82	353	3910
83	355	3875
84	358	3862
85	360	3831
86	362	3799
87	363	3766
88	365	3736
89	366	3705
90	367	3674
91	369	3644
92	370	3614
93	374	3610
94	376	3582
95	377	3554
96	378	3525
97	380	3500
98	381	3474
99	383	3450
100	384	3425
101	388	3416
102	389	3393
103	391	3369
104	392	3345
105	394	3323
106	395	3301
107	397	3281
108	399	3264
109	405	3277
110	407	3261
111	412	3270
112	415	3260
113	424	3298
114	426	3283
115	430	3280
116	435	3288
117	441	3297
118	443	3285
119	446	3274
120	451	3276
121	452	3256
122	454	3239
123	456	3226
124	458	3208
125	460	3191
126	462	3176
127	467	3186
128	469	3168
129	470	3150
130	472	3132
131	473	3115
132	475	3099
133	476	3082
134	482	3089
135	483	3071
136	484	3054
137	486	3036
138	487	3019
139	488	3003
140	490	2986
141	491	2967
142	492	2952
143	496	2953
144	498	2940
145	500	2926
146	502	2916
147	504	2902
148	506	2893
149	512	2903
150	514	2892
151	516	2880
152	517	2866
153	519	2853
154	521	2843
155	525	2842
156	530	2846
157	534	2846
158	536	2836
159	539	2831
160	541	2820
161	545	2820
162	548	2818
163	551	2813
164	554	2806
165	556	2797
166	560	2796
167	565	2800
168	567	2790
169	575	2807
170	581	2820
171	583	2811
172	585	2801
173	587	2791
174	590	2783
175	592	2773
176	598	2783
177	600	2773
178	602	2763
179	604	2753
180	606	2744
181	624	2808
182	630	2815
183	632	2806
184	635	2798
185	637	2789
186	639	2779
187	641	2770
188	645	2769
189	647	2760
190	649	2752
191	651	2742
192	654	2735
193	683	2837
194	685	2830
195	687	2822
196	694	2832
197	732	2965
198	734	2955
199	736	2945
200	740	2943
201	742	2932
202	744	2922
203	746	2912
204	748	2902
205	751	2895
206	754	2891
207	757	2882
208	758	2872
209	760	2862
210	773	2893
211	775	2883
212	778	2876
213	781	2868
214	783	2859
215	788	2860
216	790	2851
217	792	2841
218	794	2831
219	796	2822
220	798	2813
221	800	2806
222	803	2798
223	805	2788
224	814	2805
225	818	2802
226	829	2825
227	838	2840
228	841	2831
229	843	2822
230	845	2816
231	850	2815
232	856	2818
233	858	2810
234	860	2802
235	863	2794
236	866	2789
237	869	2782
238	873	2780
239	876	2775
240	878	2767
241	882	2763
242	885	2757
243	910	2822
244	913	2814
245	915	2806
246	917	2797
247	920	2789
248	922	2782
249	925	2777
250	927	2768
251	929	2760
252	931	2751
253	933	2743
254	935	2734
255	939	2730
256	941	2722
257	947	2724
258	950	2718
259	953	2714
260	956	2706
261	958	2699
262	960	2690
263	961	2681
264	963	2671
265	964	2662
266	966	2653
267	970	2650
268	971	2641
269	973	2633
270	975	2625
271	977	2616
272	979	2608
273	981	2599
274	986	2599
275	988	2593
276	990	2584
277	992	2577
278	994	2570
279	996	2562
280	1000	2559
281	1002	2551
282	1003	2543
283	1005	2534
284	1006	2526
285	1008	2518
286	1010	2510
287	1014	2507
288	1016	2500
289	1018	2493
290	1020	2486
291	1021	2477
292	1023	2469
293	1026	2465
294	1028	2457
295	1029	2449
296	1031	2440
297	1032	2432
298	1034	2424
299	1036	2417
300	1037	2409
301	1039	2402
302	1041	2395
303	1042	2387
304	1044	2379
305	1045	2371
306	1047	2363
307	1048	2355
308	1050	2348
309	1051	2340
310	1052	2332
311	1055	2327
312	1057	2320
313	1059	2313
314	1060	2307
315	1063	2301
316	1065	2296
317	1067	2289
318	1070	2284
319	1071	2277
320	1073	2270
321	1074	2262
322	1076	2255
323	1077	2248
324	1079	2241
325	1080	2234
326	1084	2231
327	1085	2223
328	1087	2216
329	1088	2209
330	1089	2202
331	1091	2196
332	1093	2190
333	1095	2183
334	1097	2178
335	1099	2173
336	1101	2166
337	1102	2159
338	1103	2152
339	1105	2145
340	1106	2138
341	1108	2131
342	1109	2124
343	1110	2118
344	1113	2113
345	1114	2106
346	1116	2100
347	1117	2093
348	1118	2087
349	1120	2080
350	1121	2073
351	1122	2067
352	1124	2060
353	1127	2057
354	1128	2051
355	1130	2044
356	1131	2038
357	1133	2031
358	1134	2025
359	1136	2019
360	1137	2013
361	1138	2007
362	1141	2002
363	1143	1997
364	1144	1991
365	1146	1985
366	1147	1979
367	1148	1973
368	1150	1966
369	1151	1960
370	1153	1954
371	1154	1949
372	1157	1945
373	1158	1939
374	1160	1933
375	1161	1927
376	1162	1921
377	1164	1915
378	1165	1909
379	1166	1903
380	1168	1897
381	1170	1894
382	1172	1888
383	1174	1883
384	1175	1877
385	1177	1872
386	1178	1866
387	1179	1861
388	1181	1855
389	1182	1849
390	1184	1845
391	1186	1840
392	1188	1835
393	1189	1829
394	1191	1824
395	1192	1819
396	1194	1814
397	1196	1809
398	1197	1803
399	1200	1800
400	1202	1796
401	1205	1792
402	1207	1788
403	1209	1783
404	1211	1779
405	1214	1776
406	1216	1773
407	1219	1769
408	1221	1764
409	1223	1760
410	1225	1756
411	1227	1751
412	1230	1749
413	1232	1744
414	1233	1739
415	1234	1733
416	1236	1728
417	1237	1723
418	1239	1718
419	1240	1713
420	1241	1707
421	1244	1704
422	1246	1700
423	1247	1695
424	1249	1690
425	1250	1685
426	1252	1680
427	1253	1675
428	1254	1670
429	1256	1665
430	1258	1662
431	1261	1658
432	1262	1653
433	1263	1648
434	1265	1643
435	1266	1638
436	1268	1633
437	1269	1628
438	1270	1623
439	1272	1619
440	1275	1616
441	1276	1612
442	1278	1607
443	1279	1602
444	1280	1597
445	1282	1592
446	1283	1588
447	1285	1583
448	1286	1578
449	1289	1576
450	1291	1571
451	1292	1566
452	1294	1562
453	1295	1557
454	1296	1553
455	1298	1548
456	1299	1544
457	1301	1539
458	1303	1536
459	1305	1532
460	1306	1527
461	1308	1523
462	1309	1519
463	1311	1514
464	1312	1510
465	1314	1505
466	1315	1501
467	1318	1498
468	1320	1495
469	1321	1490
470	1323	1486
471	1324	1482
472	1326	1477
473	1327	1473
474	1329	1469
475	1330	1465
476	1334	1462
477	1335	1458
478	1336	1454
479	1338	1449
480	1339	1445
481	1341	1441
482	1342	1437
483	1344	1432
484	1345	1428
485	1346	1424
486	1349	1421
487	1350	1416
488	1351	1412
489	1353	1408
490	1354	1404
491	1356	1400
492	1358	1396
493	1359	1392
494	1362	1390
495	1364	1386
496	1367	1384
497	1369	1380
498	1370	1376
499	1372	1372
500	1373	1368
501	1375	1364
502	1379	1362
503	1380	1358
504	1381	1354
505	1383	1350
506	1384	1346
507	1386	1342
508	1387	1338
509	1388	1334
510	1390	1330
511	1393	1328
512	1395	1324
513	1396	1320
514	1397	1316
515	1399	1312
516	1400	1308
517	1402	1304
518	1403	1301
519	1405	1297
520	1408	1294
521	1410	1291
522	1411	1287
523	1412	1283
524	1414	1279
525	1415	1275
526	1416	1271
527	1418	1267
528	1419	1263
529	1421	1260
530	1423	1257
531	1425	1253
532	1426	1250
533	1428	1246
534	1429	1242
535	1430	1238
536	1432	1234
537	1433	1231
538	1434	1227
539	1437	1224
540	1440	1221
541	1441	1218
542	1443	1214
543	1445	1211
544	1446	1207
545	1447	1204
546	1449	1200
547	1456	1201
548	1459	1198
549	1461	1195
550	1462	1191
551	1464	1188
552	1465	1184
553	1468	1182
554	1470	1179
555	1472	1175
556	1473	1171
557	1474	1168
558	1476	1164
559	1477	1161
560	1478	1157
561	1480	1153
562	1483	1151
563	1485	1148
564	1486	1144
565	1488	1141
566	1489	1137
567	1491	1134
568	1493	1131
569	1494	1127
570	1497	1124
571	1499	1121
572	1500	1118
573	1502	1114
574	1503	1111
575	1504	1107
576	1506	1104
577	1507	1100
578	1509	1097
579	1510	1094
580	1513	1091
581	1514	1088
582	1516	1084
583	1517	1081
584	1519	1077
585	1520	1074
586	1521	1070
587	1523	1067
588	1524	1064
589	1527	1061
590	1529	1058
591	1530	1055
592	1532	1051
593	1533	1048
594	1535	1044
595	1536	1041
596	1537	1038
597	1539	1034
598	1541	1031
599	1543	1028
600	1544	1025
601	1546	1022
602	1547	1018
603	1548	1015
604	1550	1012
605	1551	1008
606	1553	1005
607	1554	1002
608	1557	999
609	1558	996
610	1560	993
611	1561	990
612	1563	986
613	1564	983
614	1566	980
615	1567	977
616	1568	973
617	1571	971
618	1573	968
619	1574	965
620	1576	961
621	1577	958
622	1579	955
623	1582	953
624	1584	950
625	1587	948
626	1589	945
627	1590	942
628	1591	938
629	1593	935
630	1594	932
631	1596	929
632	1597	926
633	1599	923
634	1602	921
635	1603	917
636	1605	914
637	1606	911
638	1607	908
639	1609	905
640	1610	902
641	1612	899
642	1613	895
643	1616	893
644	1618	890
645	1619	887
646	1621	884
647	1622	881
648	1624	878
649	1625	875
650	1626	872
651	1628	869
652	1629	865
653	1631	863
654	1633	860
655	1635	857
656	1636	854
657	1638	851
658	1642	849
659	1644	847
660	1646	844
661	1648	841
662	1650	838
663	1651	835
664	1653	832
665	1654	829
666	1655	826
667	1657	823
668	1658	820
669	1661	818
670	1663	815
671	1664	812
672	1666	809
673	1668	806
674	1669	803
675	1670	800
676	1672	797
677	1674	795
678	1676	792
679	1678	789
680	1679	786
681	1680	783
682	1682	780
683	1683	777
684	1685	774
685	1686	771
686	1689	769
687	1691	766
688	1692	764
689	1694	761
690	1695	758
691	1696	755
692	1698	752
693	1700	749
694	1701	746
695	1704	744
696	1706	741
697	1707	738
698	1709	736
699	1710	733
700	1712	730
701	1713	727
702	1715	724
703	1716	721
704	1718	719
705	1720	716
706	1722	713
707	1723	710
708	1724	707
709	1726	705
710	1727	702
711	1728	699
712	1730	696
713	1731	693
714	1735	691
715	1736	688
716	1737	685
717	1739	683
718	1740	680
719	1742	677
720	1743	674
721	1744	671
722	1746	669
723	1749	666
724	1750	664
725	1752	661
726	1753	658
727	1754	655
728	1756	652
729	1757	650
730	1759	647
731	1760	644
732	1762	642
733	1764	639
734	1766	636
735	1767	634
736	1769	631
737	1770	628
738	1771	625
739	1773	623
740	1774	620
741	1776	617
742	1779	615
743	1780	612
744	1781	609
745	1783	607
746	1784	604
747	1786	601
748	1787	598
749	1788	596
750	1790	593
751	1792	591
752	1794	588
753	1795	585
754	1797	583
755	1798	580
756	1800	577
757	1801	575
758	1802	572
759	1804	569
760	1805	567
761	1809	565
762	1810	562
763	1811	559
764	1813	557
765	1814	554
766	1816	551
767	1817	549
768	1819	546
